films,replacement_cost,rental_rate,rating,Rental_amount,Rental_Quantity,Category_name
"SPICE SORORITY",22.99,4.99,NC-17,115.80,20,Drama
"TENENBAUMS COMMAND",24.99,0.99,PG-13,20.87,13,Drama
"TORQUE BOUND",27.99,4.99,G,198.72,27,Drama
"TRANSLATION SUMMER",10.99,0.99,PG-13,33.85,15,Drama
"TREATMENT JEKYLL",19.99,0.99,PG,12.93,7,Drama
"UNFAITHFUL KILL",12.99,2.99,R,26.92,8,Drama
"VIETNAM SMOOCHY",27.99,0.99,PG-13,22.85,15,Drama
"VIRGIN DAISY",29.99,4.99,PG-13,93.83,17,Drama
"WARDROBE PHANTOM",19.99,2.99,G,93.73,27,Drama
"WEST LION",29.99,4.99,G,104.84,16,Drama
"WITCHES PANIC",10.99,4.99,NC-17,173.70,30,Drama
"AFRICAN EGG",22.99,2.99,G,51.88,12,Family
"APACHE DIVINE",16.99,4.99,NC-17,178.69,31,Family
"ATLANTIS CAUSE",15.99,2.99,G,87.76,24,Family
"BAKED CLEOPATRA",20.99,2.99,G,79.84,16,Family
"BANG KWAI",25.99,2.99,NC-17,22.93,7,Family
"BEDAZZLED MARRIED",21.99,0.99,PG,16.87,13,Family
"BILKO ANONYMOUS",25.99,4.99,PG-13,102.87,13,Family
"BLANKET BEVERLY",21.99,2.99,G,40.88,12,Family
"BLOOD ARGONAUTS",13.99,0.99,G,38.90,10,Family
"BLUES INSTINCT",18.99,2.99,G,84.79,21,Family
"BRAVEHEART HUMAN",14.99,2.99,PG-13,16.95,5,Family
"CHASING FIGHT",21.99,4.99,PG,110.81,20,Family
"CHISUM BEHAVIOR",25.99,4.99,G,73.87,13,Family
"CHOCOLAT HARRY",16.99,0.99,NC-17,52.80,20,Family
"CONFUSED CANDLES",27.99,2.99,PG-13,102.83,17,Family
"CONVERSATION DOWNHILL",14.99,4.99,R,114.83,17,Family
"DATE SPEED",19.99,0.99,R,45.87,13,Family
"DINOSAUR SECRETARY",27.99,2.99,R,70.80,20,Family
"DUMBO LUST",17.99,0.99,NC-17,13.94,6,Family
"EARRING INSTINCT",22.99,0.99,R,62.81,19,Family
"EFFECT GLADIATOR",14.99,0.99,PG,53.75,25,Family
"FEUD FROGMEN",29.99,0.99,R,39.75,25,Family
"FINDING ANACONDA",10.99,0.99,R,28.88,12,Family
"GABLES METROPOLIS",17.99,0.99,PG,57.81,19,Family
"GANDHI KWAI",9.99,0.99,PG-13,22.83,17,Family
"GREASE YOUTH",20.99,0.99,G,28.79,21,Family
"HALF OUTFIELD",25.99,2.99,PG-13,91.75,26,Family
"HOMICIDE PEACH",21.99,2.99,PG-13,74.78,22,Family
"HOUSE DYNAMITE",13.99,2.99,R,74.77,23,Family
"HUNTING MUSKETEERS",24.99,2.99,NC-17,53.85,15,Family
"INDIAN LOVE",26.99,0.99,NC-17,50.84,16,Family
"JASON TRAP",9.99,2.99,NC-17,100.76,24,Family
"JEDI BENEATH",12.99,0.99,PG,21.81,19,Family
"KILLER INNOCENT",11.99,2.99,R,21.94,6,Family
"KING EVOLUTION",24.99,4.99,NC-17,66.91,9,Family
"LOLITA WORLD",25.99,2.99,NC-17,48.90,10,Family
"LOUISIANA HARRY",18.99,0.99,PG-13,29.83,17,Family
"MAGUIRE APACHE",22.99,2.99,NC-17,33.91,9,Family
"MANCHURIAN CURTAIN",27.99,2.99,PG,64.85,15,Family
"MOVIE SHAKESPEARE",27.99,4.99,PG,145.74,27,Family
"MUSIC BOONDOCK",17.99,0.99,R,22.81,19,Family
"NATURAL STOCK",24.99,0.99,PG-13,32.87,13,Family
"NETWORK PEAK",23.99,2.99,PG-13,133.69,31,Family
"ODDS BOOGIE",14.99,0.99,NC-17,23.85,15,Family
"OPPOSITE NECKLACE",9.99,4.99,PG,66.87,13,Family
"PILOT HOOSIERS",17.99,2.99,PG,57.84,16,Family
"PITTSBURGH HUNCHBACK",17.99,4.99,PG-13,88.88,12,Family
"PRESIDENT BANG",12.99,4.99,PG,40.93,7,Family
"PRIX UNDEFEATED",13.99,2.99,R,42.89,11,Family
"RAGE GAMES",18.99,4.99,R,119.81,19,Family
"RANGE MOONWALKER",25.99,4.99,PG,179.73,27,Family
"REMEMBER DIARY",15.99,2.99,R,73.82,18,Family
"RESURRECTION SILVERADO",12.99,0.99,PG,26.79,21,Family
"ROBBERY BRIGHT",21.99,0.99,R,39.87,13,Family
"RUSH GOODFELLAS",20.99,0.99,PG,88.69,31,Family
"SECRETS PARADISE",24.99,4.99,G,152.80,20,Family
"SENSIBILITY REAR",15.99,4.99,PG,52.90,10,Family
"SIEGE MADRE",23.99,0.99,R,17.85,15,Family
"SLUMS DUCK",21.99,0.99,PG,55.76,24,Family
"SOUP WISDOM",12.99,0.99,R,12.92,8,Family
"SPARTACUS CHEAPER",19.99,4.99,NC-17,60.91,9,Family
"SPINAL ROCKY",12.99,2.99,PG-13,39.87,13,Family
"SPLASH GUMP",16.99,0.99,PG,33.86,14,Family
"SUNSET RACER",28.99,0.99,NC-17,12.92,8,Family
"SUPER WYOMING",10.99,4.99,PG,86.87,13,Family
"VIRTUAL SPOILERS",14.99,4.99,NC-17,117.86,14,Family
"WILLOW TRACY",22.99,2.99,R,58.84,16,Family
"AGENT TRUMAN",17.99,2.99,PG,126.79,21,Foreign
"ALAMO VIDEOTAPE",16.99,0.99,G,35.76,24,Foreign
"ALIEN CENTER",10.99,2.99,NC-17,90.78,22,Foreign
"ALLEY EVOLUTION",23.99,2.99,NC-17,52.86,14,Foreign
"BABY HALL",23.99,4.99,NC-17,45.92,8,Foreign
"BALLROOM MOCKINGBIRD",29.99,0.99,G,10.92,8,Foreign
"BROOKLYN DESERT",21.99,4.99,R,116.79,21,Foreign
"BUGSY SONG",17.99,2.99,G,55.89,11,Foreign
"CALENDAR GUNFIGHT",22.99,4.99,NC-17,141.79,21,Foreign
"COMMAND DARLING",28.99,4.99,PG-13,107.84,16,Foreign
"COWBOY DOOM",10.99,2.99,PG,28.93,7,Foreign
"CYCLONE FAMILY",18.99,2.99,PG,48.86,15,Foreign
"DANGEROUS UPTOWN",26.99,4.99,PG,66.88,12,Foreign
"DOUBTFIRE LABYRINTH",16.99,4.99,R,57.90,10,Foreign
"EVERYONE CRAFT",29.99,0.99,PG,24.87,13,Foreign
"FICTION CHRISTMAS",14.99,0.99,PG,58.81,19,Foreign
"FRIDA SLIPPER",11.99,2.99,R,40.90,11,Foreign
"GENTLEMEN STAGE",22.99,2.99,NC-17,81.77,23,Foreign
"GRAPES FURY",20.99,0.99,G,56.77,22,Foreign
"GREEK EVERYONE",11.99,2.99,PG,55.83,17,Foreign
"HAPPINESS UNITED",23.99,2.99,G,22.94,6,Foreign
"HELLFIGHTERS SIERRA",23.99,2.99,PG,97.80,20,Foreign
"HIGHBALL POTTER",10.99,0.99,R,32.79,21,Foreign
"HOLIDAY GAMES",10.99,4.99,PG-13,82.85,15,Foreign
"HOOSIERS BIRDCAGE",12.99,2.99,G,41.92,8,Foreign
"HOTEL HAPPINESS",28.99,4.99,PG-13,46.91,9,Foreign
"HUNGER ROOF",21.99,0.99,G,22.87,13,Foreign
"ILLUSION AMELIE",15.99,0.99,R,39.85,15,Foreign
"IMPOSSIBLE PREJUDICE",11.99,4.99,NC-17,74.86,14,Foreign
"INFORMER DOUBLE",23.99,4.99,NC-17,27.95,5,Foreign
"INNOCENT USUAL",26.99,4.99,PG-13,191.74,26,Foreign
"INTRIGUE WORST",10.99,0.99,G,37.80,20,Foreign
"JET NEIGHBORS",14.99,4.99,R,109.80,20,Foreign
"KANE EXORCIST",18.99,0.99,R,20.86,14,Foreign
"KISS GLORY",11.99,4.99,PG-13,132.78,22,Foreign
"LOSE INCH",18.99,0.99,R,81.73,27,Foreign
"LOST BIRD",21.99,2.99,PG-13,64.88,12,Foreign
"MADNESS ATTACKS",14.99,0.99,PG-13,73.75,25,Foreign
"MATRIX SNOWMAN",9.99,4.99,PG-13,45.91,9,Foreign
"MAUDE MOD",20.99,0.99,R,11.92,8,Foreign
"MEET CHOCOLATE",26.99,2.99,G,65.88,12,Foreign
"MIXED DOORS",26.99,2.99,PG-13,15.96,4,Foreign
"MOON BUNCH",20.99,0.99,PG,38.71,29,Foreign
"MULHOLLAND BEAST",13.99,2.99,PG,21.93,7,Foreign
"NEWTON LABYRINTH",9.99,0.99,PG,47.83,17,Foreign
"OPUS ICE",21.99,4.99,R,65.89,11,Foreign
"ORANGE GRAPES",21.99,0.99,PG-13,67.76,24,Foreign
"PAST SUICIDES",17.99,4.99,PG-13,72.87,13,Foreign
"PET HAUNTING",11.99,0.99,PG,26.92,8,Foreign
"POLLOCK DELIVERANCE",14.99,2.99,PG,69.81,18,Foreign
"PURPLE MOVIE",9.99,2.99,R,55.87,13,Foreign
"RESERVOIR ADAPTATION",29.99,2.99,PG-13,34.90,10,Foreign
"ROCKETEER MOTHER",27.99,0.99,PG-13,116.67,33,Foreign
"SCHOOL JACKET",21.99,4.99,PG-13,35.94,6,Foreign
"SCISSORHANDS SLUMS",13.99,2.99,G,53.85,15,Foreign
"SHOCK CABIN",15.99,2.99,PG-13,99.70,30,Foreign
"SHREK LICENSE",15.99,2.99,PG-13,46.85,15,Foreign
"SORORITY QUEEN",17.99,0.99,NC-17,19.88,12,Foreign
"STEPMOM DREAM",9.99,4.99,NC-17,104.80,20,Foreign
"TOWN ARK",17.99,2.99,R,49.86,14,Foreign
"TRAP GUYS",11.99,4.99,G,126.84,16,Foreign
"USUAL UNTOUCHABLES",21.99,4.99,PG-13,70.87,13,Foreign
"VISION TORQUE",16.99,0.99,PG-13,15.93,7,Foreign
"WAR NOTTING",26.99,4.99,G,65.88,12,Foreign
"WASH HEAVENLY",22.99,4.99,R,119.77,23,Foreign
"WHALE BIKINI",11.99,4.99,PG-13,134.82,18,Foreign
"WONDERFUL DROP",20.99,2.99,NC-17,55.91,9,Foreign
"AUTUMN CROW",13.99,4.99,G,84.89,11,Games
"BULWORTH COMMANDMENTS",14.99,2.99,G,32.93,7,Games
"CANDLES GRAPES",15.99,4.99,NC-17,128.77,23,Games
"CHICAGO NORTH",11.99,4.99,PG-13,89.84,16,Games
"CREATURES SHAKESPEARE",23.99,0.99,NC-17,56.84,16,Games
"CURTAIN VIDEOTAPE",27.99,0.99,PG-13,38.74,27,Games
"DARLING BREAKING",20.99,4.99,PG-13,49.91,9,Games
"DAWN POND",27.99,4.99,PG,128.82,18,Games
"DETAILS PACKER",17.99,4.99,R,133.81,19,Games
"DIRTY ACE",29.99,2.99,NC-17,55.85,15,Games
"DIVINE RESURRECTION",19.99,2.99,R,64.85,15,Games
"DWARFS ALTER",13.99,2.99,G,31.91,9,Games
"ENCINO ELF",9.99,0.99,G,27.81,19,Games
"FANTASIA PARK",29.99,2.99,G,73.81,19,Games
"FEATHERS METAL",12.99,0.99,PG-13,41.89,11,Games
"FEVER EMPIRE",20.99,4.99,R,33.95,5,Games
"FIRE WOLVES",18.99,4.99,R,39.93,7,Games
"FORWARD TEMPLE",25.99,2.99,NC-17,128.68,32,Games
"GATHERING CALENDAR",22.99,0.99,PG-13,24.89,11,Games
"GLORY TRACY",13.99,2.99,PG-13,14.95,5,Games
"GRINCH MASSAGE",25.99,4.99,R,76.86,14,Games
"GRIT CLOCKWORK",21.99,0.99,PG,110.68,32,Games
"GUN BONNIE",27.99,0.99,G,37.75,25,Games
"HAUNTING PIANIST",22.99,0.99,R,52.78,22,Games
"HEAD STRANGER",28.99,4.99,R,152.78,22,Games
"HUMAN GRAFFITI",22.99,2.99,NC-17,80.85,15,Games
"ICE CROSSING",28.99,2.99,R,100.76,24,Games
"JERICHO MULAN",29.99,2.99,NC-17,98.83,17,Games
"LADYBUGS ARMAGEDDON",13.99,0.99,NC-17,17.94,6,Games
"LAMBS CINCINATTI",18.99,4.99,PG-13,57.90,10,Games
"MADRE GABLES",27.99,2.99,PG-13,52.86,14,Games
"MALTESE HOPE",26.99,4.99,PG-13,123.78,22,Games
"MARS ROMAN",21.99,0.99,NC-17,32.81,19,Games
"MASSACRE USUAL",16.99,4.99,R,179.70,30,Games
"MONSOON CAUSE",20.99,4.99,PG,54.91,9,Games
"MOONSHINE CABIN",25.99,4.99,PG-13,141.79,21,Games
"MOONWALKER FOOL",12.99,4.99,G,88.87,13,Games
"NAME DETECTIVE",11.99,4.99,PG-13,136.77,23,Games
"NIGHTMARE CHILL",25.99,4.99,PG,169.75,25,Games
"OUTBREAK DIVINE",12.99,0.99,NC-17,39.77,23,Games
"PANKY SUBMARINE",19.99,4.99,G,110.85,15,Games
"PIZZA JUMANJI",11.99,2.99,NC-17,28.93,7,Games
"PRIVATE DROP",26.99,4.99,PG,26.95,5,Games
"ROUGE SQUAD",10.99,0.99,NC-17,53.82,18,Games
"ROXANNE REBEL",9.99,0.99,R,33.81,19,Games
"SASSY PACKER",29.99,0.99,G,15.87,13,Games
"SEVEN SWARM",15.99,4.99,R,30.95,5,Games
"SLEUTH ORIENT",25.99,0.99,NC-17,53.79,21,Games
"SPY MILE",13.99,2.99,PG-13,94.73,27,Games
"STAMPEDE DISTURBING",26.99,0.99,R,32.86,14,Games
"STATE WASTELAND",13.99,2.99,NC-17,61.88,13,Games
"SUIT WALLS",12.99,4.99,R,147.79,21,Games
"TYCOON GATHERING",17.99,4.99,G,103.88,12,Games
"VANILLA DAY",20.99,4.99,NC-17,52.91,9,Games
"VIDEOTAPE ARSENIC",10.99,4.99,NC-17,178.71,29,Games
"VOLCANO TEXAS",27.99,0.99,NC-17,36.78,22,Games
"WANDA CHAMBER",23.99,4.99,PG-13,86.84,16,Games
"WIND PHANTOM",12.99,0.99,R,38.77,23,Games
"ACE GOLDFINGER",12.99,4.99,G,52.93,7,Horror
"AFFAIR PREJUDICE",26.99,2.99,G,91.77,23,Horror
"AIRPORT POLLOCK",15.99,4.99,R,102.82,18,Horror
"ALABAMA DEVIL",21.99,2.99,PG-13,71.88,12,Horror
"ALI FOREVER",21.99,4.99,PG,54.91,9,Horror
"ANALYZE HOOSIERS",19.99,2.99,R,55.86,14,Horror
"ANYTHING SAVANNAH",27.99,2.99,R,46.91,9,Horror
"ARABIA DOGMA",29.99,0.99,NC-17,22.87,13,Horror
"ARACHNOPHOBIA ROLLERCOASTER",24.99,2.99,PG-13,114.76,24,Horror
"BEHAVIOR RUNAWAY",20.99,4.99,PG,100.87,13,Horror
"BOWFINGER GABLES",19.99,4.99,NC-17,56.89,11,Horror
"CARRIE BUNCH",11.99,0.99,PG,34.77,23,Horror
"DESERT POSEIDON",27.99,4.99,R,118.81,19,Horror
"DRUMS DYNAMITE",11.99,0.99,PG,24.87,13,Horror
"EGYPT TENENBAUMS",11.99,0.99,PG,72.83,17,Horror
"ELEPHANT TROJAN",24.99,4.99,PG-13,89.86,14,Horror
"FAMILY SWEET",24.99,0.99,R,70.70,29,Horror
"FIDELITY DEVIL",11.99,4.99,G,138.79,21,Horror
"FREDDY STORM",21.99,4.99,NC-17,126.77,23,Horror
"GASLIGHT CRUSADE",10.99,2.99,PG,62.84,16,Horror
"HIGH ENCINO",23.99,2.99,R,120.78,22,Horror
"JAPANESE RUN",29.99,0.99,G,7.94,6,Horror
"KARATE MOON",21.99,0.99,PG-13,58.77,23,Horror
"LADY STAGE",14.99,4.99,PG,118.83,17,Horror
"LOLA AGENT",24.99,4.99,PG,159.76,24,Horror
"LOVE SUICIDES",21.99,0.99,R,35.80,20,Horror
"MONTEREY LABYRINTH",13.99,0.99,G,21.87,13,Horror
"MOTIONS DETAILS",16.99,0.99,PG,32.85,16,Horror
"PANIC CLUB",15.99,4.99,G,51.93,7,Horror
"PARIS WEEKEND",19.99,2.99,PG-13,46.86,14,Horror
"PATTON INTERVIEW",22.99,2.99,PG,102.77,23,Horror
"PULP BEVERLY",12.99,2.99,G,136.70,30,Horror
"REAP UNFAITHFUL",26.99,2.99,PG-13,62.84,16,Horror
"REEF SALUTE",26.99,0.99,NC-17,23.89,11,Horror
"ROCK INSTINCT",28.99,0.99,G,48.83,17,Horror
"ROLLERCOASTER BRINGING",13.99,2.99,PG-13,45.90,10,Horror
"RULES HUMAN",19.99,4.99,R,101.84,16,Horror
"SIMON NORTH",26.99,0.99,NC-17,18.94,6,Horror
"SINNERS ATLANTIS",19.99,2.99,PG-13,73.78,22,Horror
"SLEEPING SUSPECTS",13.99,4.99,PG-13,131.76,24,Horror
"SPIRIT FLINTSTONES",23.99,0.99,R,15.85,15,Horror
"STRANGERS GRAFFITI",22.99,4.99,R,123.83,17,Horror
"STREETCAR INTENTIONS",11.99,4.99,R,148.75,25,Horror
"SWARM GOLD",12.99,0.99,PG-13,71.73,27,Horror
"TARZAN VIDEOTAPE",11.99,2.99,PG-13,40.92,8,Horror
"TEMPLE ATTRACTION",13.99,4.99,PG,70.88,12,Horror
"TEXAS WATCH",22.99,0.99,NC-17,5.94,6,Horror
"TRAIN BUNCH",26.99,4.99,R,24.96,4,Horror
"UNDEFEATED DALMATIONS",22.99,4.99,PG-13,114.79,21,Horror
"WATERSHIP FRONTIER",28.99,0.99,G,13.94,6,Horror
"WORLD LEATHERNECKS",13.99,0.99,PG-13,24.92,8,Horror
"YENTL IDAHO",11.99,4.99,R,135.77,23,Horror
"ZHIVAGO CORE",10.99,0.99,NC-17,14.91,9,Horror
"ALASKA PHANTOM",22.99,0.99,PG,44.74,26,Music
"ALONE TRIP",14.99,0.99,R,62.82,18,Music
"AMELIE HELLFIGHTERS",23.99,4.99,R,67.90,10,Music
"BALLOON HOMEWARD",10.99,2.99,NC-17,98.77,23,Music
"BANGER PINOCCHIO",15.99,0.99,R,42.78,22,Music
"BIRCH ANTITRUST",18.99,4.99,PG,74.89,11,Music
"BIRDCAGE CASPER",23.99,0.99,NC-17,23.91,9,Music
"BOOGIE AMELIE",11.99,4.99,R,163.70,29,Music
"CHAMBER ITALIAN",14.99,4.99,NC-17,65.88,13,Music
"CLONES PINOCCHIO",16.99,2.99,R,65.81,19,Music
"CLUE GRAIL",27.99,4.99,NC-17,40.93,7,Music
"CONFIDENTIAL INTERVIEW",13.99,4.99,NC-17,164.71,29,Music
"DEER VIRGINIAN",13.99,2.99,NC-17,96.72,29,Music
"DORADO NOTTING",26.99,4.99,NC-17,176.73,27,Music
"DRIVING POLISH",21.99,4.99,NC-17,115.79,21,Music
"ELF MURDER",19.99,4.99,NC-17,39.93,7,Music
"ENEMY ODDS",23.99,4.99,NC-17,180.71,29,Music
"FREAKY POCUS",16.99,2.99,R,52.83,17,Music
"GO PURPLE",12.99,0.99,R,54.80,20,Music
"GREATEST NORTH",24.99,2.99,NC-17,109.71,29,Music
"GROSSE WONDERFUL",19.99,4.99,R,46.92,8,Music
"HANOVER GALAXY",21.99,4.99,NC-17,98.83,17,Music
"HEAVENLY GUN",13.99,4.99,NC-17,41.93,7,Music
"HOME PITY",15.99,4.99,R,79.86,14,Music
"IMPACT ALADDIN",20.99,0.99,PG-13,20.91,9,Music
"INSIDER ARIZONA",17.99,2.99,NC-17,73.80,20,Music
"JAWBREAKER BROOKLYN",15.99,0.99,PG,11.90,10,Music
"LEGEND JEDI",18.99,0.99,PG,13.91,9,Music
"LUCKY FLYING",10.99,2.99,PG-13,43.87,13,Music
"MASKED BUBBLE",12.99,0.99,PG-13,25.80,20,Music
"MINORITY KISS",16.99,0.99,G,27.89,12,Music
"MONSTER SPARTACUS",28.99,2.99,PG,51.85,15,Music
"OLEANDER CLUE",12.99,0.99,PG,29.90,10,Music
"OUTFIELD MASSACRE",18.99,0.99,NC-17,59.80,20,Music
"PERSONAL LADYBUGS",19.99,0.99,PG-13,49.86,14,Music
"REBEL AIRPORT",24.99,0.99,G,7.92,8,Music
"REDS POCUS",23.99,4.99,PG-13,52.91,9,Music
"ROMAN PUNK",28.99,0.99,NC-17,29.76,24,Music
"RUNNER MADIGAN",27.99,0.99,NC-17,14.92,8,Music
"SCALAWAG DUCK",13.99,4.99,NC-17,172.68,32,Music
"SILENCE KANE",23.99,0.99,R,16.84,16,Music
"SONG HEDWIG",29.99,0.99,PG-13,34.89,11,Music
"TAXI KICK",23.99,0.99,PG-13,34.83,17,Music
"TELEGRAPH VOYAGE",20.99,4.99,PG,231.73,27,Music
"TERMINATOR CLUB",11.99,4.99,R,39.94,6,Music
"UNCUT SUICIDES",29.99,2.99,PG-13,45.86,14,Music
"VANISHING ROCKY",21.99,2.99,NC-17,87.82,18,Music
"WIZARD COLDBLOODED",12.99,4.99,PG,97.84,16,Music
"WON DARES",18.99,2.99,PG,28.91,9,Music
"WORDS HUNTER",13.99,2.99,PG,82.84,16,Music
"YOUTH KICK",14.99,0.99,NC-17,16.94,6,Music
"AMISTAD MIDSUMMER",10.99,2.99,G,70.79,21,New
"ANGELS LIFE",15.99,2.99,G,119.78,22,New
"APOCALYPSE FLAMINGOS",11.99,4.99,R,30.94,6,New
"ATTRACTION NEWTON",14.99,4.99,PG-13,146.76,24,New
"BIRDS PERDITION",15.99,4.99,G,111.82,18,New
"BOULEVARD MOB",11.99,0.99,R,63.82,18,New
"BRANNIGAN SUNRISE",27.99,4.99,PG,74.88,12,New
"BREAKFAST GOLDFINGER",18.99,4.99,G,109.83,17,New
"BREAKING HOME",21.99,2.99,PG-13,51.87,13,New
"BUTTERFLY CHOCOLAT",17.99,0.99,G,123.70,30,New
"CHAPLIN LICENSE",26.99,2.99,NC-17,23.92,8,New
"CLEOPATRA DEVIL",26.99,0.99,PG-13,29.83,18,New
"CLYDE THEORY",29.99,0.99,PG-13,23.92,8,New
"DAY UNFAITHFUL",16.99,4.99,G,109.86,14,New
"DESTINY SATURDAY",20.99,4.99,G,96.84,16,New
"DRAGONFLY STRANGERS",19.99,4.99,NC-17,103.82,18,New
"EAGLES PANKY",14.99,4.99,NC-17,152.78,22,New
"EARTH VISION",29.99,0.99,NC-17,34.77,23,New
"ENDING CROWDS",10.99,0.99,NC-17,18.89,11,New
"EVE RESURRECTION",25.99,4.99,G,40.93,7,New
"FATAL HAUNTED",24.99,2.99,PG,107.72,28,New
"FLAMINGOS CONNECTICUT",28.99,4.99,PG-13,139.77,23,New
"FLASH WARS",21.99,4.99,NC-17,92.87,13,New
"FRONTIER CABIN",14.99,4.99,PG-13,35.94,6,New
"GODFATHER DIARY",14.99,2.99,NC-17,37.92,8,New
"HOURS RAGE",14.99,0.99,NC-17,49.81,19,New
"IDAHO LOVE",25.99,2.99,PG-13,80.83,17,New
"INTERVIEW LIAISONS",17.99,4.99,R,128.80,20,New
"JEKYLL FROGMEN",22.99,2.99,PG,86.83,17,New
"JUMANJI BLADE",13.99,2.99,G,30.92,8,New
"JUNGLE CLOSER",11.99,0.99,NC-17,15.91,9,New
"LOVERBOY ATTACKS",19.99,0.99,PG-13,19.88,12,New
"MAIDEN HOME",9.99,4.99,PG,163.76,24,New
"MANNEQUIN WORST",18.99,2.99,PG-13,23.95,5,New
"MASK PEACH",26.99,2.99,NC-17,63.83,17,New
"MINE TITANS",12.99,4.99,PG-13,153.81,19,New
"MONEY HAROLD",17.99,2.99,PG,111.80,20,New
"NUTS TIES",10.99,4.99,NC-17,53.91,9,New
"OKLAHOMA JUMANJI",15.99,0.99,PG,5.94,6,New
"PHANTOM GLORY",17.99,2.99,NC-17,21.94,6,New
"PIANIST OUTFIELD",25.99,0.99,NC-17,38.78,21,New
"PLATOON INSTINCT",10.99,4.99,PG-13,45.91,9,New
"PLUTO OLEANDER",9.99,4.99,R,88.84,16,New
"REDEMPTION COMFORTS",20.99,2.99,NC-17,113.80,20,New
"RIDGEMONT SUBMARINE",28.99,0.99,PG-13,130.68,32,New
"RUN PACIFIC",25.99,0.99,R,44.90,10,New
"RUNAWAY TENENBAUMS",17.99,0.99,NC-17,12.92,8,New
"SALUTE APOLLO",29.99,2.99,R,106.77,23,New
"SAMURAI LION",21.99,2.99,G,108.75,25,New
"SLEEPY JAPANESE",25.99,2.99,PG,92.80,21,New
"STING PERSONAL",9.99,4.99,NC-17,159.79,21,New
"STOCK GLASS",10.99,2.99,PG,45.86,14,New
"TROOPERS METAL",20.99,0.99,R,46.86,14,New
"UNBREAKABLE KARATE",16.99,0.99,G,82.79,21,New
"VAMPIRE WHALE",11.99,4.99,NC-17,79.88,12,New
"VANISHED GARDEN",17.99,0.99,R,14.94,7,New
"VARSITY TRIP",14.99,2.99,NC-17,48.84,16,New
"VOICE PEACH",22.99,0.99,PG-13,33.81,19,New
"WILD APOLLO",24.99,0.99,R,15.94,6,New
"WYOMING STORM",29.99,4.99,PG-13,72.87,13,New
"ANNIE IDENTITY",15.99,0.99,G,59.78,22,Sci-Fi
"ARMAGEDDON LOST",10.99,0.99,G,45.79,21,Sci-Fi
"ATTACKS HATE",21.99,4.99,PG-13,101.84,16,Sci-Fi
"BADMAN DAWN",22.99,2.99,R,76.79,21,Sci-Fi
"BARBARELLA STREETCAR",27.99,2.99,G,96.75,25,Sci-Fi
"BEVERLY OUTLAW",21.99,2.99,R,115.79,21,Sci-Fi
"BINGO TALENTED",22.99,2.99,PG-13,131.71,29,Sci-Fi
"BLINDNESS GUN",29.99,4.99,PG-13,76.86,14,Sci-Fi
"CAMELOT VACATION",26.99,0.99,NC-17,101.73,27,Sci-Fi
"CHAINSAW UPTOWN",25.99,0.99,PG,33.79,21,Sci-Fi
"CHARADE DUFFEL",21.99,2.99,PG,80.85,15,Sci-Fi
"CHARIOTS CONSPIRACY",29.99,2.99,R,71.79,21,Sci-Fi
"CHEAPER CLYDE",23.99,0.99,G,36.80,20,Sci-Fi
"CINCINATTI WHISPERER",26.99,4.99,NC-17,87.87,13,Sci-Fi
"CITIZEN SHREK",18.99,0.99,G,21.87,13,Sci-Fi
"COLDBLOODED DARLING",27.99,4.99,G,89.84,16,Sci-Fi
"CONNECTICUT TRAMP",20.99,4.99,R,90.87,13,Sci-Fi
"DAISY MENAGERIE",9.99,4.99,G,95.84,16,Sci-Fi
"DISTURBING SCARFACE",27.99,2.99,R,89.74,26,Sci-Fi
"DIVIDE MONSTER",13.99,2.99,PG-13,67.79,21,Sci-Fi
"DOLLS RAGE",10.99,2.99,PG-13,30.91,9,Sci-Fi
"ENGLISH BULWORTH",18.99,0.99,PG-13,103.70,30,Sci-Fi
"EXPRESS LONELY",23.99,2.99,R,49.87,13,Sci-Fi
"EYES DRIVING",13.99,2.99,PG-13,83.81,19,Sci-Fi
"FIDDLER LOST",20.99,4.99,R,64.90,10,Sci-Fi
"FISH OPUS",22.99,2.99,R,108.75,25,Sci-Fi
"FRISCO FORREST",23.99,4.99,PG,53.91,9,Sci-Fi
"GARDEN ISLAND",21.99,4.99,G,144.80,20,Sci-Fi
"GOLDMINE TYCOON",20.99,0.99,R,48.73,27,Sci-Fi
"GOODFELLAS SALUTE",22.99,4.99,PG,209.69,31,Sci-Fi
"GRAFFITI LOVE",29.99,0.99,PG,81.70,30,Sci-Fi
"GUYS FALCON",20.99,4.99,R,57.91,9,Sci-Fi
"HAMLET WISDOM",21.99,2.99,R,48.86,14,Sci-Fi
"HANKY OCTOBER",26.99,2.99,NC-17,116.74,26,Sci-Fi
"HOLLOW JEOPARDY",25.99,4.99,NC-17,49.90,10,Sci-Fi
"IDENTITY LOVER",12.99,2.99,PG-13,59.87,13,Sci-Fi
"LICENSE WEEKEND",28.99,2.99,NC-17,22.93,7,Sci-Fi
"MARRIED GO",22.99,2.99,G,98.70,30,Sci-Fi
"METROPOLIS COMA",9.99,2.99,PG-13,131.74,26,Sci-Fi
"MOURNING PURPLE",14.99,0.99,PG,42.79,21,Sci-Fi
"NEMO CAMPUS",23.99,2.99,NC-17,59.86,14,Sci-Fi
"NONE SPIKING",18.99,0.99,NC-17,84.73,27,Sci-Fi
"OPEN AFRICAN",16.99,4.99,PG,113.79,21,Sci-Fi
